<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20150525;000000;49.8950000;53.2250000;49.7600000;52.3100000;23263207000
20150601;000000;52.5970000;57.2190000;52.5190000;56.2450000;24155220000
20150608;000000;56.1200000;56.4010000;53.7810000;54.7980000;17106218000
20150615;000000;55.4890000;55.5710000;53.0050000;54.0000000;21388694000
20150622;000000;53.9230000;55.3040000;53.3520000;54.7800000;20054328000
20150629;000000;55.4320000;56.0000000;54.9740000;56.0000000;17457099000
20150706;000000;56.2630000;57.6880000;56.2000000;56.4290000;19516597000
20150713;000000;56.5810000;57.2320000;56.3350000;56.9870000;15898267000
20150720;000000;56.8230000;58.7280000;56.7160000;58.4250000;17724906000
20150727;000000;58.4250000;61.7550000;58.3300000;61.7200000;28240581000
20150803;000000;62.0500000;64.7000000;62.0500000;64.0450000;24711331000
20150810;000000;64.4850000;65.2520000;62.7010000;64.9970000;22053120000
20150817;000000;65.3700000;69.2790000;65.1000000;69.1080000;22413177000
20150824;000000;70.0600000;71.6490000;64.5160000;65.4020000;35781620000
20150831;000000;65.4990000;68.5390000;63.7190000;68.4200000;32555199000
20150907;000000;68.4840000;69.3000000;67.3310000;67.9240000;20769742000
20150914;000000;67.7800000;68.1000000;64.9000000;66.5020000;24704680000
20150921;000000;66.2890000;66.7790000;65.4000000;65.5300000;22008140000
20150928;000000;65.6970000;66.6890000;64.7360000;66.0120000;22093464000
20151005;000000;65.7740000;65.9720000;60.8160000;61.8760000;28580525000
20151012;000000;61.1500000;63.3030000;60.9140000;61.2850000;24534751000
20151019;000000;61.2990000;63.1850000;61.1500000;62.3800000;24966834000
20151026;000000;62.1400000;65.5220000;62.1060000;63.9580000;27271320000
20151102;000000;63.7950000;64.8310000;62.3400000;64.5980000;17303154000
20151109;000000;64.5030000;66.9920000;64.0750000;66.7770000;23559050000
20151116;000000;66.6230000;66.6420000;64.3210000;64.7500000;23676134000
20151123;000000;65.4190000;66.4890000;64.9040000;66.4800000;20774600000
20151130;000000;66.6100000;68.3250000;65.7550000;68.1350000;21302934000
20151207;000000;68.4470000;70.5000000;68.3650000;70.3620000;23993052000
20151214;000000;70.2610000;71.4730000;69.6340000;70.9480000;27195877000
20151221;000000;71.3850000;71.4140000;69.1550000;70.6890000;16714721000
20151228;000000;70.4040000;73.6300000;70.3600000;73.5900000;13248671000
20160104;000000;73.0810000;75.1000000;72.6150000;74.7600000;4510009000
20160111;000000;75.7210000;77.9500000;75.0600000;77.6030000;25925334000
20160118;000000;78.0480000;85.9990000;77.9010000;78.0240000;36550668000
20160125;000000;77.2920000;82.3000000;74.5720000;75.4300000;37564759000
20160201;000000;75.7300000;79.9000000;75.4540000;77.4700000;31430658000
20160208;000000;76.8780000;80.6400000;76.3820000;78.3400000;29579135000
20160215;000000;77.9170000;78.3260000;74.6310000;77.0500000;26246819000
20160222;000000;76.3560000;77.5800000;74.4760000;76.2000000;19113008000
20160229;000000;75.5480000;76.2960000;71.7500000;71.9700000;21144369000
20160307;000000;71.6960000;72.6670000;69.4350000;69.8830000;16770349000
20160314;000000;70.0000000;71.4400000;67.2620000;68.3890000;26106582000
20160321;000000;68.4100000;69.6650000;67.2000000;68.4540000;21150012000
20160328;000000;68.0870000;69.2440000;66.7030000;67.5950000;22872869000
20160404;000000;68.2500000;69.4880000;66.9210000;67.1500000;21856025000
20160411;000000;67.0520000;67.3680000;65.1840000;66.4470000;23293893000
20160418;000000;67.9040000;68.8000000;62.6850000;66.4550000;25921102000
20160425;000000;66.2730000;66.8550000;63.9830000;64.6300000;19950176000
20160502;000000;66.6140000;66.7990000;65.1900000;65.9450000;11950327000
20160509;000000;66.2700000;66.6720000;64.5610000;65.4800000;14119160000
20160516;000000;64.8320000;67.3300000;64.3660000;66.7980000;20413824000
20160523;000000;66.9760000;67.2370000;64.8830000;66.1440000;16506962000
20160530;000000;66.2000000;67.7100000;65.5875000;65.6200000;17607271000
20160606;000000;65.3000000;65.9900000;63.4000000;65.2800000;18706857000
20160613;000000;65.8650000;66.3150000;64.7050000;64.8500000;14733738000
20160620;000000;64.5025000;67.5775000;63.4900000;65.2625000;17878501000
20160627;000000;64.9850000;65.6500000;63.6075000;63.8000000;17174662000
20160704;000000;63.5400000;64.8050000;63.5200000;63.9800000;15833378000
20160711;000000;64.1000000;64.3100000;62.7300000;63.5100000;17603011000
20160718;000000;63.3525000;64.9800000;62.7875000;64.8800000;16675298000
20160725;000000;64.8000000;67.3000000;64.7725000;66.0350000;20484932000
20160801;000000;65.8050000;67.0300000;64.9975000;65.5475000;18169838000
20160808;000000;65.4975000;65.5150000;64.0800000;64.7500000;17742326000
20160815;000000;64.5625000;64.5625000;63.3800000;63.9000000;17325439000
20160822;000000;64.2500000;65.3275000;64.0550000;64.8600000;17670620000
20160829;000000;64.9900000;65.9775000;64.7300000;65.0950000;16407705000
20160905;000000;65.0000000;65.1500000;63.5650000;64.8200000;17241853000
20160912;000000;64.9000000;65.4700000;64.4175000;65.1200000;19909301000
20160919;000000;64.8900000;65.0200000;63.3775000;64.0600000;18026099000
20160926;000000;64.0000000;64.2900000;62.6400000;62.8050000;19186494000
20161003;000000;62.8275000;62.8600000;61.9525000;62.2125000;18083068000
20161010;000000;62.0700000;63.5150000;61.8175000;62.9600000;19537209000
20161017;000000;63.0000000;63.2200000;62.2000000;62.3700000;14335096000
20161024;000000;62.4025000;63.2500000;61.9500000;63.0200000;17815797000
20161031;000000;63.0850000;63.8500000;62.9025000;63.5800000;12233861000
20161107;000000;64.0625000;66.3000000;63.2200000;65.7200000;23894096000
20161114;000000;65.8500000;66.4950000;63.9975000;64.7025000;24121510000
20161121;000000;64.6175000;64.9775000;63.4650000;64.9500000;20321299000
20161128;000000;64.8775000;65.5000000;63.4975000;63.8800000;20046010000
20161205;000000;63.9100000;64.1150000;62.2050000;62.4950000;15368119000
20161212;000000;62.1075000;62.5175000;60.4700000;62.0825000;23804527000
20161219;000000;61.9000000;62.0725000;60.6825000;61.0400000;13521049000
20161226;000000;61.1300000;61.6575000;60.1075000;61.2725000;12784838000
20170102;000000;61.1000000;61.2900000;59.1025000;59.6200000;6174951000
20170109;000000;59.6225000;60.6975000;59.0875000;59.6600000;15689198000
20170116;000000;59.6300000;60.2650000;58.9500000;59.7550000;18130342000
20170123;000000;59.7000000;60.6200000;59.0575000;59.8300000;21961514000
20170130;000000;59.9075000;60.4300000;58.5600000;58.9625000;18364348000
20170206;000000;58.9975000;59.6275000;58.2100000;58.2400000;16881371000
20170213;000000;58.3200000;58.5500000;56.5500000;58.4175000;23143767000
20170220;000000;58.1750000;58.5900000;57.3000000;58.4450000;11058275000
20170227;000000;58.0700000;59.0100000;57.5775000;58.2300000;19946505000
20170306;000000;58.3025000;59.5000000;57.8750000;58.9975000;15996098000
20170313;000000;59.0625000;59.6275000;57.1550000;57.2200000;21175129000
20170320;000000;57.3300000;58.2200000;56.8700000;56.8800000;20342209000
20170327;000000;56.9450000;57.2225000;55.8500000;56.2800000;17335873000
20170403;000000;56.0400000;57.2550000;55.8000000;57.2500000;17781107000
20170410;000000;57.5000000;57.5925000;56.0825000;56.3625000;14485216000
20170417;000000;56.3100000;56.7450000;55.8500000;56.4550000;13731553000
20170424;000000;56.0100000;57.2700000;55.7150000;56.9225000;17741782000
20170501;000000;56.9800000;58.8225000;56.8550000;57.9325000;14937781000
20170508;000000;58.2700000;58.3700000;56.9200000;57.0850000;8788490000
20170515;000000;56.6800000;58.1375000;56.1600000;56.9000000;19797296000
20170522;000000;56.5925000;57.0275000;56.0000000;56.5000000;19831980000
20170529;000000;56.7600000;56.9475000;56.1125000;56.6575000;14540913000
20170605;000000;56.4500000;57.1700000;56.3925000;57.0300000;14185460000
20170612;000000;56.9475000;57.8900000;56.8175000;57.7700000;16713448000
20170619;000000;57.6400000;60.4275000;57.6325000;59.3850000;25111685000
20170626;000000;59.1900000;59.8875000;58.6100000;58.9300000;18251652000
20170703;000000;58.9500000;60.6250000;58.7900000;60.3550000;17365250000
20170710;000000;60.3025000;60.9900000;59.0400000;59.0900000;17096013000
20170717;000000;59.1325000;59.4650000;58.7725000;59.3600000;13795850000
20170724;000000;59.4025000;60.2100000;59.3100000;59.5650000;15574771000
20170731;000000;59.6400000;60.8500000;59.6000000;59.9700000;16373762000
20170807;000000;60.0525000;60.3350000;59.7050000;59.8625000;15319853000
20170814;000000;59.7800000;60.1200000;58.9800000;59.0000000;10552594071
20170821;000000;59.1000000;59.2750000;58.5400000;58.5750000;11428409000
20170828;000000;58.7375000;58.9150000;57.3700000;57.5200000;16020998000
20170904;000000;57.6825000;58.1150000;56.7800000;57.3675000;15015776000
20170911;000000;57.2875000;57.9900000;57.0400000;57.6900000;15682623000
20170918;000000;57.6575000;58.3875000;57.4375000;57.5000000;15289913000
20170925;000000;57.6025000;58.5850000;57.2400000;57.4800000;19632718000
20171002;000000;57.5575000;58.2625000;57.3800000;58.1900000;13032281000
20171009;000000;58.2700000;58.5100000;57.0550000;57.1600000;13738164000
20171016;000000;57.1775000;57.7300000;56.9875000;57.4825000;13270774000
20171023;000000;57.5475000;58.7675000;57.3750000;58.0600000;18557550000
20171030;000000;57.9975000;59.2825000;57.6575000;59.0800000;18085655000
